ఆఫ్రికా	非洲
ఏప్రిల్ 24	4月24日
ఏప్రిల్ 25	4月25日
ఏప్రిల్ 26	4月26日
ఏప్రిల్ 27	4月27日
ఏప్రిల్ 28	4月28日
ఏప్రిల్ 29	4月29日
ఏప్రిల్ 30	4月30日
ఉపగ్రహం	衛星
మే 1	5月1日
మే 2	5月2日
మే 3	5月3日
మే 4	5月4日
మే 5	5月5日
మే 6	5月6日
మే 7	5月7日
మే 8	5月8日
మే 9	5月9日
మే 10	5月10日
మే 11	5月11日
మే 12	5月12日
మే 13	5月13日
మే 14	5月14日
మే 15	5月15日
మే 16	5月16日
మే 17	5月17日
మే 18	5月18日
మే 19	5月19日
మే 20	5月20日
మే 21	5月21日
మే 22	5月22日
మే 23	5月23日
మే 24	5月24日
మే 25	5月25日
మే 26	5月26日
మే 27	5月27日
మే 28	5月28日
మే 29	5月29日
మే 30	5月30日
మే 31	5月31日
డిసెంబర్ 21	12月21日
జూన్ 14	6月14日
జూన్ 15	6月15日
జూన్ 13	6月13日
జూన్ 10	6月10日
జూన్ 7	6月7日
జూన్ 11	6月11日
జూన్ 9	6月9日
జూన్ 12	6月12日
జూన్ 6	6月6日
జూన్ 8	6月8日
జూన్ 5	6月5日
జూన్ 3	6月3日
జూన్ 2	6月2日
జూన్ 1	6月1日
జూన్ 4	6月4日
డిసెంబర్ 22	12月22日
1968	1968年
1967	1967年
1966	1966年
1965	1965年
1964	1964年
జూన్ 16	6月16日
జూన్ 30	6月30日
జూన్ 29	6月29日
జూన్ 28	6月28日
జూన్ 26	6月26日
జూన్ 25	6月25日
జూన్ 22	6月22日
జూన్ 27	6月27日
జూన్ 24	6月24日
జూన్ 20	6月20日
జూన్ 23	6月23日
జూన్ 19	6月19日
జూన్ 18	6月18日
జూన్ 21	6月21日
జూన్ 17	6月17日
డిసెంబర్ 23	12月23日
బ్రూస్ విల్లీస్	布鲁斯·威利斯
ఆర్నాల్డ్ స్క్వార్జెనెగర్	阿诺·施瓦辛格
జూలై 15	7月15日
జూలై 13	7月13日
జూలై 12	7月12日
జూలై 10	7月10日
జూలై 9	7月9日
జూలై 14	7月14日
జూలై 8	7月8日
జూలై 7	7月7日
జూలై 6	7月6日
జూలై 5	7月5日
జూలై 2	7月2日
జూలై 4	7月4日
జూలై 3	7月3日
జూలై 1	7月1日
జూలై 11	7月11日
డిసెంబర్ 24	12月24日
జూలై 31	7月31日
జూలై 30	7月30日
జూలై 29	7月29日
జూలై 28	7月28日
జూలై 27	7月27日
జూలై 25	7月25日
జూలై 24	7月24日
జూలై 23	7月23日
జూలై 26	7月26日
జూలై 22	7月22日
జూలై 19	7月19日
జూలై 21	7月21日
జూలై 20	7月20日
జూలై 17	7月17日
జూలై 18	7月18日
జూలై 16	7月16日
కాల్బంతి	足球
డిసెంబర్ 25	12月25日
1963	1963年
డిసెంబర్ 26	12月26日
1962	1962年
ఐఫోన్	IPhone
ఆగష్టు 14	8月14日
ఆగష్టు 15	8月15日
ఆగష్టు 13	8月13日
ఆగష్టు 12	8月12日
ఆగష్టు 11	8月11日
ఆగష్టు 10	8月10日
ఆగష్టు 8	8月8日
ఆగష్టు 7	8月7日
ఆగష్టు 9	8月9日
ఆగష్టు 5	8月5日
ఆగష్టు 4	8月4日
ఆగష్టు 2	8月2日
ఆగష్టు 3	8月3日
ఆగష్టు 6	8月6日
ఆగష్టు 1	8月1日
ఐప్యాడ్	IPad
డిసెంబర్ 27	12月27日
జలాంతర్గామి	潛艇
ఆగష్టు 16	8月16日
ఆగష్టు 29	8月29日
ఆగష్టు 28	8月28日
ఆగష్టు 30	8月30日
ఆగష్టు 25	8月25日
ఆగష్టు 26	8月26日
ఆగష్టు 23	8月23日
ఆగష్టు 27	8月27日
ఆగష్టు 21	8月21日
ఆగష్టు 20	8月20日
ఆగష్టు 24	8月24日
ఆగష్టు 18	8月18日
ఆగష్టు 17	8月17日
ఆగష్టు 22	8月22日
ఆగష్టు 19	8月19日
ఆగష్టు 31	8月31日
మైకల్ జాక్సన్	迈克尔·杰克逊
డిసెంబర్ 28	12月28日
అఫాసియా (మెదడు వ్యాధి వల్ల మాట పోవడం)	失语症
ఫ్లూ	流行性感冒
సెప్టెంబర్ 15	9月15日
సెప్టెంబర్ 14	9月14日
సెప్టెంబర్ 13	9月13日
సెప్టెంబర్ 12	9月12日
సెప్టెంబర్ 8	9月8日
సెప్టెంబర్ 11	9月11日
సెప్టెంబర్ 7	9月7日
సెప్టెంబర్ 10	9月10日
సెప్టెంబర్ 5	9月5日
సెప్టెంబర్ 4	9月4日
సెప్టెంబర్ 9	9月9日
సెప్టెంబర్‌ 2	9月2日
సెప్టెంబర్ 6	9月6日
సెప్టెంబర్ 1	9月1日
సెప్టెంబర్‌ 3	9月3日
డిసెంబర్ 29	12月29日
వివిక్త కొసైన్ పరివర్తనం	离散余弦变换
సెప్టెంబర్ 30	9月30日
సెప్టెంబర్ 29	9月29日
సెప్టెంబర్ 28	9月28日
సెప్టెంబర్ 27	9月27日
సెప్టెంబర్ 26	9月26日
సెప్టెంబర్ 25	9月25日
సెప్టెంబర్ 23	9月23日
సెప్టెంబర్ 22	9月22日
సెప్టెంబర్ 24	9月24日
సెప్టెంబర్ 21	9月21日
సెప్టెంబర్ 20	9月20日
సెప్టెంబర్ 18	9月18日
సెప్టెంబర్ 17	9月17日
సెప్టెంబర్ 19	9月19日
సెప్టెంబర్ 16	9月16日
డిసెంబర్ 30	12月30日
డిసెంబర్ 31	12月31日
అక్టోబర్ 1	10月1日
అక్టోబర్ 15	10月15日
అక్టోబర్ 12	10月12日
అక్టోబర్ 10	10月10日
అక్టోబర్ 14	10月14日
అక్టోబర్ 9	10月9日
అక్టోబర్ 8	10月8日
అక్టోబర్ 13	10月13日
అక్టోబర్ 7	10月7日
అక్టోబర్ 11	10月11日
అక్టోబర్ 6	10月6日
అక్టోబర్ 4	10月4日
అక్టోబర్ 5	10月5日
అక్టోబర్ 3	10月3日
అక్టోబర్ 2	10月2日
మేక	家山羊
అక్టోబర్ 31	10月31日
అక్టోబర్ 30	10月30日
అక్టోబర్ 29	10月29日
అక్టోబర్ 28	10月28日
అక్టోబర్ 26	10月26日
అక్టోబర్ 25	10月25日
అక్టోబర్ 24	10月24日
అక్టోబర్ 27	10月27日
అక్టోబర్ 22	10月22日
అక్టోబర్ 23	10月23日
అక్టోబర్ 20	10月20日
అక్టోబర్ 21	10月21日
అక్టోబర్ 19	10月19日
అక్టోబర్ 17	10月17日
అక్టోబర్ 16	10月16日
అక్టోబర్ 18	10月18日
నవంబర్ 15	11月15日
నవంబర్ 14	11月14日
నవంబర్ 13	11月13日
నవంబర్ 12	11月12日
నవంబర్ 11	11月11日
నవంబర్ 10	11月10日
నవంబర్ 7	11月7日
నవంబర్ 8	11月8日
నవంబర్ 9	11月9日
నవంబర్ 6	11月6日
నవంబర్ 5	11月5日
నవంబర్ 4	11月4日
నవంబర్ 3	11月3日
నవంబర్ 2	11月2日
నవంబర్ 1	11月1日
అబ్బాయి	男孩
నవంబర్ 30	11月30日
నవంబర్ 29	11月29日
నవంబర్ 28	11月28日
నవంబర్ 27	11月27日
నవంబర్ 26	11月26日
నవంబర్ 25	11月25日
నవంబర్ 23	11月23日
నవంబర్ 24	11月24日
నవంబర్ 21	11月21日
నవంబర్ 20	11月20日
నవంబర్ 22	11月22日
నవంబర్ 19	11月19日
నవంబర్ 18	11月18日
నవంబర్ 17	11月17日
నవంబర్ 16	11月16日
అమ్మాయి	女孩
సిడ్నీ	悉尼
మెల్బోర్న్	墨尔本
ఎరుపు	红色
అగ్ని	火
ఫోటాన్	光子
భూమి వాతావరణం	地球大气层
జార్జ్ ఆర్వెల్	乔治·奥威尔
నైలు నది	尼罗河
కాంగో నది	刚果河
తోకచుక్క	彗星
టెహరాన్	德黑兰
అద్దిస్ అబాబా	亚的斯亚贝巴
జకార్తా	雅加达
అంకారా	安卡拉
1961	1961年
అడుగు (కొలమానం)	英尺
1960	1960年
జావా (ద్వీపం)	爪哇岛
అమెజాన్ నది	亚马逊河
మస్కట్	马斯喀特
గ్రహశకలం	小行星
అమెజాన్.కాం	亞馬遜公司
సూర్య గ్రహణం	日食
అడిడాస్	愛迪達
పాఠశాల	学校
విశ్వవిద్యాలయం	大學
ప్రిటోరియా	比勒陀利亞
టేబుల్ టెన్నిస్	乒乓球
సూపర్ నోవా	超新星
వికీపీడియా:Sandbox	Wikipedia:沙盒
ఇల్లు	住宅
పట్టణం	鎮
ల్యాప్‌టాప్	筆記型電腦
కంప్యూటర్ హార్డ్‌వేర్	硬件
బీజగణితం	代数
పటము	地图
నది	河流
ఓఝస్కు	奥萨斯库
గ్లాస్గో	格拉斯哥
న్యూట్రాన్ తార	中子星
టెలిస్కోపు	望远镜
రేడియో తరంగాలు	無線電波
పెట్టుబడి	投资
రేడియో ఖగోళశాస్త్రం	射电天文学
మదర్ బోర్డు	主板
కురితీబా	庫里奇巴
అడవి	森林
వర్గం:1888	Category:1888年
యుఎస్‌బి ఫ్లాష్ డ్రైవ్ (USB Flash Drive)	闪存盘
జిచిఉజ్ఫాలు	齐奇尤伊福卢
హార్డ్ డిస్క్ డ్రైవ్	硬盘
మిట్ రోమ్నీ	米特·羅姆尼
నౌకాదళం	海军
సుందరవనాలు	蘇達班
పడమటి కనుమలు	西高止山脉
సహకార సంఘాలు	合作社
రాజీవ్ గాంధీ	拉吉夫·甘地
కన్ఫ్యూషియస్	孔子
మార్లిన్ మన్రో	玛丽莲·梦露
కర్బిన్ బ్ల్యు	柯賓·布魯
వర్గం:గణిత శాస్త్రము	Category:数学
సూరత్	苏拉特
వర్గం:భారతదేశ చరిత్ర	Category:印度歷史
మూస:Country data Iran	Template:Country data Iran
బాలి	巴厘岛
షెర్లాక్ హోమ్స్	歇洛克·福尔摩斯
సాంస్కృతిక పునరుజ్జీవనం	文艺复兴
గూడు	巢
స్తంభం	柱
వర్గం:1888 జననాలు	Category:1888年出生
యూరో	欧元
మధ్యధరా సముద్రము	地中海
లారీ పేజ్	拉里·佩奇
క్రైస్తవ మతము	基督教
బెర్లిన్ గోడ	柏林圍牆
గంగా నది	恒河
బియ్యము	稻
ఖండం	洲
మూస:ALA	Template:ALA
అడిలైడ్	阿德莱德
పక్షి	鸟
రాజధాని	首都
మూస:ఇస్లాం మతము	Template:伊斯兰教
గుజరాతి భాష	古吉拉特语
నెల	月
ముస్తఫా కమాల్ అతాతుర్క్	穆斯塔法·凯末尔·阿塔蒂尔克
1948	1948年
నెమటోడ	线虫动物门
1949	1949年
ఫిబ్రవరి 2008	2008年2月
హువాంగ్ గ్జియాన్ హన్	黄现璠
1956	1956年
1941	1941年
1945	1945年
1958	1958年
శాతవాహనులు	百乘王朝
1926	1926年
1947	1947年
హిప్పోక్రేట్స్	希波克拉底
1944	1944年
1952	1952年
వజ్రం	钻石
బిల్ గేట్స్	比尔·盖茨
విజ్ఞాన సర్వస్వము	百科全书
ఫ్లాపీ	软盘
డీవీడీ	數碼多功能影音光碟
రాండమ్ ఏక్సెస్ మెమరీ	随机存取存储器
మొదటి పేజీ	Wikipedia:首页
కేంద్రీయ కార్యసరణి విభాగం	中央处理器
1959	1959年
గ్రాఫైట్	石墨
1957	1957年
రాతి ఉప్పు	石鹽
ట్రాన్సిస్టర్	晶体管
బాస్కెట్ బాల్	篮球
